depth,alpha,peakstress,displacement
0.4,0,7.62,0.2402
0.4,0,7.56,0.2039
0.4,0,7.32,0.2168
0.4,0,7.37,0.2358
0.4,0,8.68,0.4300
0.4,0,8.57,0.4117
0.4,0,7.17,0.2648
0.4,0.075,6.01,0.2961
0.4,0.075,6.74,0.2123
0.4,0.075,6.68,0.1798
0.4,0.075,6.46,0.2528
0.4,0.075,6.65,0.1741
0.4,0.075,7.04,0.1708
0.4,0.075,7.59,0.1933
0.4,0.075,6.74,0.1717
0.4,0.075,6.36,0.2167
0.4,0.075,6.59,0.1785
0.4,0.075,6.77,0.1574
0.4,0.15,4.94,0.1560
0.4,0.15,5.75,0.1649
0.4,0.15,4.93,0.1428
0.4,0.15,5.43,0.2871
0.4,0.15,5.24,0.1673
0.4,0.15,5.36,0.1515
0.4,0.15,5.82,0.1847
0.4,0.15,5.29,0.1679
0.4,0.15,5.08,0.1672
0.4,0.15,5.99,0.1725
0.4,0.3,3.71,0.1226
0.4,0.3,3.11,0.1321
0.4,0.3,3.22,0.1295
0.4,0.3,3.39,0.1319
0.4,0.3,4.61,0.1618
0.4,0.3,3.96,0.1641
0.4,0.3,4.1,0.1910
0.4,0.3,3.35,0.1117
0.93,0,7.78,0.3124
0.93,0,7.86,0.4462
0.93,0,7.37,0.3057
0.93,0,6.95,0.3250
0.93,0,7.4,0.3162
0.93,0,7.02,0.3362
0.93,0,7.69,0.3398
0.93,0,6.74,0.3882
0.93,0.075,5.58,0.2870
0.93,0.075,5.52,0.2500
0.93,0.075,5.59,0.3269
0.93,0.075,5.71,0.3316
0.93,0.075,5.1,0.2167
0.93,0.075,5.58,0.2375
0.93,0.075,5.11,0.2126
0.93,0.075,5.75,0.2654
0.93,0.15,5.14,0.2244
0.93,0.15,4.73,0.2206
0.93,0.15,4.6,0.2291
0.93,0.15,4.67,0.2308
0.93,0.15,4.38,0.2190
0.93,0.15,4.2,0.2091
0.93,0.15,4.31,0.2193
0.93,0.15,4.29,0.2005
0.93,0.3,2.81,0.1835
0.93,0.3,3.13,0.1630
0.93,0.3,2.97,0.1595
0.93,0.3,3.15,0.2027
0.93,0.3,3.03,0.1836
0.93,0.3,3.03,0.1678
0.93,0.3,3.1,0.1820
0.93,0.3,3.1,0.1676
2.15,0,6.21
2.15,0,6.23
2.15,0,6.75
2.15,0,5.99
2.15,0.075,4.64
2.15,0.075,4.34
2.15,0.075,4.55
2.15,0.075,4.99
2.15,0.075,4.51
2.15,0.075,4.52
2.15,0.15,3.57
2.15,0.15,3.69
2.15,0.15,3.72
2.15,0.15,3.91
2.15,0.15,3.48
2.15,0.15,3.69
2.15,0.3,2.38
2.15,0.3,2.68
2.15,0.3,2.61
2.15,0.3,2.85
2.15,0.3,2.39
2.15,0.3,2.4
5,0,5.83
5,0,5.68
5,0,6.36
5,0.075,3.95
5,0.075,3.49
5,0.075,3.9
5,0.075,3.96
5,0.075,3.43
5,0.15,2.98
5,0.15,2.99
5,0.15,2.84
5,0.15,2.84
5,0.15,3.04
5,0.15,2.86
5,0.3,1.89
5,0.3,1.85
5,0.3,2.01
5,0.3,1.78
5,0.3,1.8
5,0.3,1.98
