depth,alpha,peakstress
0.4,0,7.62
0.4,0,7.56
0.4,0,7.32
0.4,0,7.37
0.4,0,8.68
0.4,0,8.57
0.4,0,7.17
0.4,0.075,6.01
0.4,0.075,6.74
0.4,0.075,6.68
0.4,0.075,6.46
0.4,0.075,6.65
0.4,0.075,7.04
0.4,0.075,7.59
0.4,0.075,6.74
0.4,0.075,6.36
0.4,0.075,6.59
0.4,0.075,6.77
0.4,0.15,4.94
0.4,0.15,5.75
0.4,0.15,4.93
0.4,0.15,5.43
0.4,0.15,5.24
0.4,0.15,5.36
0.4,0.15,5.82
0.4,0.15,5.29
0.4,0.15,5.08
0.4,0.15,5.99
0.4,0.3,3.71
0.4,0.3,3.11
0.4,0.3,3.22
0.4,0.3,3.39
0.4,0.3,4.61
0.4,0.3,3.96
0.4,0.3,4.1
0.4,0.3,3.35
0.93,0,7.78
0.93,0,7.86
0.93,0,7.37
0.93,0,6.95
0.93,0,7.4
0.93,0,7.02
0.93,0,7.69
0.93,0,6.74
0.93,0.075,5.58
0.93,0.075,5.52
0.93,0.075,5.59
0.93,0.075,5.71
0.93,0.075,5.1
0.93,0.075,5.58
0.93,0.075,5.11
0.93,0.075,5.75
0.93,0.15,5.14
0.93,0.15,4.73
0.93,0.15,4.6
0.93,0.15,4.67
0.93,0.15,4.38
0.93,0.15,4.2
0.93,0.15,4.31
0.93,0.15,4.29
0.93,0.3,2.81
0.93,0.3,3.13
0.93,0.3,2.97
0.93,0.3,3.15
0.93,0.3,3.03
0.93,0.3,3.03
0.93,0.3,3.1
0.93,0.3,3.1
2.15,0,6.21
2.15,0,6.23
2.15,0,6.75
2.15,0,5.99
2.15,0.075,4.64
2.15,0.075,4.34
2.15,0.075,4.55
2.15,0.075,4.99
2.15,0.075,4.51
2.15,0.075,4.52
2.15,0.15,3.57
2.15,0.15,3.69
2.15,0.15,3.72
2.15,0.15,3.91
2.15,0.15,3.48
2.15,0.15,3.69
2.15,0.3,2.38
2.15,0.3,2.68
2.15,0.3,2.61
2.15,0.3,2.85
2.15,0.3,2.39
2.15,0.3,2.4
5,0,5.83
5,0,5.68
5,0,6.36
5,0.075,3.95
5,0.075,3.49
5,0.075,3.9
5,0.075,3.96
5,0.075,3.43
5,0.15,2.98
5,0.15,2.99
5,0.15,2.84
5,0.15,2.84
5,0.15,3.04
5,0.15,2.86
5,0.3,1.89
5,0.3,1.85
5,0.3,2.01
5,0.3,1.78
5,0.3,1.8
5,0.3,1.98
